kemsa_code,recommended_default_code,excel_name,match_name,is_tracer,section,category,pack_size,excel_price,excel_row,suggested_csv_file,fuzzy_suggestions
PM11HKT004,PM11HKT004,H.PYLORI ERADICATION KIT (ESOMEPRAZOLE 20MG/ CLARITHROMYCIN 500MG/ AMOXYCILLIN 1G)  - Esclam Kit,H.PYLORI ERADICATION KIT (ESOMEPRAZOLE 20MG/ CLARITHROMYCIN 500MG/ AMOXYCILLIN 1G) - Esclam Kit,True,SSD PHARMACEUTICALS,ANTIACID/ANTIULCER MEDICINES,Pack of 7s,1500,293,kesses_pharmaceuticals_stock.csv,0.91|init.fe7d4828-b514-4bcc-a275-4217f2c0eaaa|kesses_pharmaceuticals_stock.csv|H.PYLORI ERADICATION KIT (ESOMEPRAZOLE 20MG/ CLARITHROMYCIN 500MG/ AMOXYCILLIN 1G)
PM06AMP005,PM06AMP005,INDAPAMIDE 1.5MG SLOW RELEASE TABLETS  - Natrilix SR,INDAPAMIDE 1.5MG SLOW RELEASE TABLETS - Natrilix SR,True,SSD PHARMACEUTICALS,ANTIHYPERTENSION MEDICINES,PACK OF 30S,1290,294,kesses_pharmaceuticals_stock.csv,0.71|init.88982bd5-6acc-5845-9d32-a2786df9911a|kesses_pharmaceuticals_stock.csv|INDAPAMIDE 1.5MG SLOW RELEASE TABLETS ;; 0.38|init.669792ff-6735-56ad-b12e-af95881d9b35|kesses_pharmaceuticals_stock.csv|INDAPAMIDE + AMLODIPINE 1.5MG/5MG TABLETS
PM06AMP001,PM06AMP001,INDAPAMIDE + AMLODIPINE 1.5MG/10MG TABLETS  - Natrixam - 10mg,INDAPAMIDE + AMLODIPINE 1.5MG/10MG TABLETS - Natrixam - 10mg,True,SSD PHARMACEUTICALS,ANTIHYPERTENSION MEDICINES,PACK OF 30S,1750,295,kesses_pharmaceuticals_stock.csv,0.83|init.37b9f611-82a5-56bc-b38a-533642772f43|kesses_pharmaceuticals_stock.csv|INDAPAMIDE + AMLODIPINE 1.5MG/10MG TABLETS ;; 0.67|init.669792ff-6735-56ad-b12e-af95881d9b35|kesses_pharmaceuticals_stock.csv|INDAPAMIDE + AMLODIPINE 1.5MG/5MG TABLETS ;; 0.50|init.3e2fbf24-7428-5bd2-a34b-7f6d778b2559|kesses_pharmaceuticals_stock.csv|PERINDOPRIL + INDAPAMIDE + AMLODIPINE 10MG/2.5MG/10MG TABLETS
PM06AMP002,PM06AMP002,INDAPAMIDE + AMLODIPINE 1.5MG/5MG TABLETS  - Natrixam - 5mg,INDAPAMIDE + AMLODIPINE 1.5MG/5MG TABLETS - Natrixam - 5mg,True,SSD PHARMACEUTICALS,ANTIHYPERTENSION MEDICINES,PACK OF 30S,1600,296,kesses_pharmaceuticals_stock.csv,0.80|init.669792ff-6735-56ad-b12e-af95881d9b35|kesses_pharmaceuticals_stock.csv|INDAPAMIDE + AMLODIPINE 1.5MG/5MG TABLETS ;; 0.67|init.37b9f611-82a5-56bc-b38a-533642772f43|kesses_pharmaceuticals_stock.csv|INDAPAMIDE + AMLODIPINE 1.5MG/10MG TABLETS ;; 0.43|init.311a09a2-bc34-5557-bd4e-819ad4b36a74|kesses_pharmaceuticals_stock.csv|INDAPAMIDE + PERINDOPRIL 1.25MG/5MG TABLETS
PM06AMP003,PM06AMP003,INDAPAMIDE + PERINDOPRIL 1.25MG/5MG TABLETS  - Bipreterax - 5mg,INDAPAMIDE + PERINDOPRIL 1.25MG/5MG TABLETS - Bipreterax - 5mg,True,SSD PHARMACEUTICALS,ANTIHYPERTENSION MEDICINES,PACK OF 30S,1700,297,kesses_pharmaceuticals_stock.csv,0.83|init.311a09a2-bc34-5557-bd4e-819ad4b36a74|kesses_pharmaceuticals_stock.csv|INDAPAMIDE + PERINDOPRIL 1.25MG/5MG TABLETS ;; 0.43|init.669792ff-6735-56ad-b12e-af95881d9b35|kesses_pharmaceuticals_stock.csv|INDAPAMIDE + AMLODIPINE 1.5MG/5MG TABLETS ;; 0.38|init.37b9f611-82a5-56bc-b38a-533642772f43|kesses_pharmaceuticals_stock.csv|INDAPAMIDE + AMLODIPINE 1.5MG/10MG TABLETS
PM06AMP004,PM06AMP004,INDAPAMIDE + PERINDOPRIL 2.5MG/10MG TABLETS  - Bipreterax - 10mg,INDAPAMIDE + PERINDOPRIL 2.5MG/10MG TABLETS - Bipreterax - 10mg,True,SSD PHARMACEUTICALS,ANTIHYPERTENSION MEDICINES,PACK OF 30S,2150,298,kesses_pharmaceuticals_stock.csv,0.83|init.9f45fd0d-b8b7-5edc-ac32-48d38332e315|kesses_pharmaceuticals_stock.csv|INDAPAMIDE + PERINDOPRIL 2.5MG/10MG TABLETS ;; 0.71|init.3e2fbf24-7428-5bd2-a34b-7f6d778b2559|kesses_pharmaceuticals_stock.csv|PERINDOPRIL + INDAPAMIDE + AMLODIPINE 10MG/2.5MG/10MG TABLETS ;; 0.38|init.37b9f611-82a5-56bc-b38a-533642772f43|kesses_pharmaceuticals_stock.csv|INDAPAMIDE + AMLODIPINE 1.5MG/10MG TABLETS
PM07LVT004,PM07LVT004,LEVETIRACETAM 250MG TABLETS  - Levipil 250,LEVETIRACETAM 250MG TABLETS - Levipil 250,True,SSD PHARMACEUTICALS,SEDATIVES/ANXIOLYTICS & ANTICONVULSANTS,TABLET,30,299,kesses_pharmaceuticals_stock.csv,0.50|init.d14a9051-2337-5783-9f8a-5d4d94767668|kesses_pharmaceuticals_stock.csv|LEVETIRACETAM 250MG TABLETS
PM07LVT005,PM07LVT005,LEVETIRACETAM 500MG TABLETS  - Levipil 500,LEVETIRACETAM 500MG TABLETS - Levipil 500,True,SSD PHARMACEUTICALS,SEDATIVES/ANXIOLYTICS & ANTICONVULSANTS,TABLET,45,300,kesses_pharmaceuticals_stock.csv,0.50|init.20d141d5-d4ed-50f0-9f2d-78d7ab233932|kesses_pharmaceuticals_stock.csv|LEVETIRACETAM 500MG TABLETS
PM06LST008,PM06LST008,LOSARTAN POTASSIUM 50MG + AMLODIPINE 5MG + HYDROCHLORTHIAZIDE 12.5MG TABLETS  - Unizar Forte,LOSARTAN POTASSIUM 50MG + AMLODIPINE 5MG + HYDROCHLORTHIAZIDE 12.5MG TABLETS - Unizar Forte,True,SSD PHARMACEUTICALS,ANTIHYPERTENSION MEDICINES,PACK OF 30S,950,301,kesses_pharmaceuticals_stock.csv,0.78|init.dbe13d8e-2c22-5700-ad88-6af3fd15663c|kesses_pharmaceuticals_stock.csv|LOSARTAN POTASSIUM 50MG + AMLODIPINE 5MG + HYDROCHLORTHIAZIDE 12.5MG TABLETS ;; 0.56|init.52d9444e-36fd-591b-b16b-90662ddfb5aa|kesses_pharmaceuticals_stock.csv|LOSARTAN POTASSIUM 50MG + AMLODIPINE 5MG TABLETS ;; 0.44|init.7f516314-327f-468c-9492-5cff2236ed03|drugs.csv|AMLODIPINE 5mg AND LOSARTAN 50mg
PM14MCN001,PM14MCN001,METHYLCOBALAMIN NASAL SRAY 250 MCG SPRAY  - Naso B12,METHYLCOBALAMIN NASAL SRAY 250 MCG SPRAY - Naso B12,True,SSD PHARMACEUTICALS,VITAMINS AND MINERALS,2.3 ml Bottle,1600,302,kesses_pharmaceuticals_stock.csv,0.75|init.97c48a13-8aa8-5897-86ee-7cbdb20ca134|kesses_pharmaceuticals_stock.csv|METHYLCOBALAMIN NASAL SRAY 250 MCG SPRAY
PM06NEB002,PM06NEB002,NEBIVOLOL 5 MG  TABLETS  - Nebi-5,NEBIVOLOL 5 MG TABLETS - Nebi-5,True,SSD PHARMACEUTICALS,ANTIHYPERTENSION MEDICINES,TABLET,40,303,kesses_pharmaceuticals_stock.csv,0.67|init.6a099e38-1440-5d90-b647-57c3cb0b9f0a|kesses_pharmaceuticals_stock.csv|NEBIVOLOL 5 MG TABLETS
PM12MMT003,PM12MMT003,OLOPATADINE HYDROCHLORIDE AND MOMATASONE FUROATE NASAL SPRAY 600MCG/25MCG  - Ryaltris,OLOPATADINE HYDROCHLORIDE AND MOMATASONE FUROATE NASAL SPRAY 600MCG/25MCG - Ryaltris,True,SSD PHARMACEUTICALS,ANTI-INFLAMATORY/ANTIPRURITIC MEDICINES,120 metered spray,1950,304,kesses_pharmaceuticals_stock.csv,0.70|init.ebfc52ff-11b3-5d82-a2ec-9cceb4016eaf|kesses_pharmaceuticals_stock.csv|OLAPATADINE HYDROCHLORIDE AND MOMATASONE FUROATE NASAL SPRAY 600MCG/25MCG
PM07PPD005,PM07PPD005,PALIPERIDONE 100 MG  INJ  - Invega Sustenna,PALIPERIDONE 100 MG INJ - Invega Sustenna,True,SSD PHARMACEUTICALS,MEDICINES FOR PSYCHOTIC DISORDERS,Prefilled Syringes,14000,305,kesses_pharmaceuticals_stock.csv,0.60|init.a8fc77de-026f-5ab2-a2a2-14f26895db61|kesses_pharmaceuticals_stock.csv|PALIPERIDONE 100 MG INJ
PM07PPD006,PM07PPD006,PALIPERIDONE 150  MG  INJ  - Invega Sustenna,PALIPERIDONE 150 MG INJ - Invega Sustenna,True,SSD PHARMACEUTICALS,MEDICINES FOR PSYCHOTIC DISORDERS,Prefilled Syringes,14000,306,kesses_pharmaceuticals_stock.csv,0.60|init.e5498c36-ebbe-51a4-87ae-07ef214c647d|kesses_pharmaceuticals_stock.csv|PALIPERIDONE 150 MG INJ
PM07PPD004,PM07PPD004,PALIPERIDONE 75 MG  INJ  - Invega Sustenna,PALIPERIDONE 75 MG INJ - Invega Sustenna,True,SSD PHARMACEUTICALS,MEDICINES FOR PSYCHOTIC DISORDERS,Prefilled Syringes,14000,307,kesses_pharmaceuticals_stock.csv,0.60|init.d9d36670-4c06-5794-98a1-409801256215|kesses_pharmaceuticals_stock.csv|PALIPERIDONE 75 MG INJ
PM06AMP006,PM06AMP006,PERINDOPRIL + AMLODIPINE 10MG/10MG TABLETS  - Coveram,PERINDOPRIL + AMLODIPINE 10MG/10MG TABLETS - Coveram,True,SSD PHARMACEUTICALS,ANTIHYPERTENSION MEDICINES,PACK OF 30S,2150,308,kesses_pharmaceuticals_stock.csv,0.75|init.a753eda8-1c28-506b-ba77-2dbf03c27f23|kesses_pharmaceuticals_stock.csv|PERINDOPRIL + AMLODIPINE 10MG/10MG TABLETS ;; 0.50|init.2edd97ef-6642-4052-b86b-ab33aaebe579|drugs.csv|AMLODIPINE 10mg TAB ;; 0.43|init.3e2fbf24-7428-5bd2-a34b-7f6d778b2559|kesses_pharmaceuticals_stock.csv|PERINDOPRIL + INDAPAMIDE + AMLODIPINE 10MG/2.5MG/10MG TABLETS
PM06AMP007,PM06AMP007,PERINDOPRIL + INDAPAMIDE + AMLODIPINE 10MG/2.5MG/10MG TABLETS  - Triplixam,PERINDOPRIL + INDAPAMIDE + AMLODIPINE 10MG/2.5MG/10MG TABLETS - Triplixam,True,SSD PHARMACEUTICALS,ANTIHYPERTENSION MEDICINES,PACK OF 30S,2350,309,kesses_pharmaceuticals_stock.csv,0.86|init.3e2fbf24-7428-5bd2-a34b-7f6d778b2559|kesses_pharmaceuticals_stock.csv|PERINDOPRIL + INDAPAMIDE + AMLODIPINE 10MG/2.5MG/10MG TABLETS ;; 0.71|init.9f45fd0d-b8b7-5edc-ac32-48d38332e315|kesses_pharmaceuticals_stock.csv|INDAPAMIDE + PERINDOPRIL 2.5MG/10MG TABLETS ;; 0.50|init.37b9f611-82a5-56bc-b38a-533642772f43|kesses_pharmaceuticals_stock.csv|INDAPAMIDE + AMLODIPINE 1.5MG/10MG TABLETS
PM07PRE005,PM07PRE005,PREGABALIN 25MG TABLETS  - Cabalin 25,PREGABALIN 25MG TABLETS - Cabalin 25,True,SSD PHARMACEUTICALS,SEDATIVES/ANXIOLYTICS & ANTICONVULSANTS,Capsule,15,310,kesses_pharmaceuticals_stock.csv,0.50|init.e0894492-f162-43c3-8aa7-5180b8c99de1|kesses_pharmaceuticals_stock.csv|PREGABALIN 25MG TABLETS
PM07PRE004,PM07PRE004,PREGABALIN 75MG CAPSULE  - Gabica,PREGABALIN 75MG CAPSULE - Gabica,True,SSD PHARMACEUTICALS,SEDATIVES/ANXIOLYTICS & ANTICONVULSANTS,Capsule,21,311,kesses_pharmaceuticals_stock.csv,0.50|init.1bca5460-5954-4ab2-b500-186f37f8cea6|drugs.csv|PREGABALIN 75mg CAP
PM07QPN006,PM07QPN006,QUETIAPINE  100MG TABLETS  - Quitipin - 100,QUETIAPINE 100MG TABLETS - Quitipin - 100,True,SSD PHARMACEUTICALS,MEDICINES FOR PSYCHOTIC DISORDERS,PACK OF 30S,1500,312,kesses_pharmaceuticals_stock.csv,0.50|init.208dd4b6-8db9-46f0-b695-194f1e339af0|kesses_pharmaceuticals_stock.csv|QUETIAPINE 100MG TABLETS
PM07QPN005,PM07QPN005,QUETIAPINE 50MG TABLETS  - Quitipin - 50,QUETIAPINE 50MG TABLETS - Quitipin - 50,True,SSD PHARMACEUTICALS,MEDICINES FOR PSYCHOTIC DISORDERS,PACK OF 30S,1370,313,kesses_pharmaceuticals_stock.csv,0.50|init.e0d2fe97-4932-4fbf-83ba-741e5b780c45|kesses_pharmaceuticals_stock.csv|QUETIAPINE 50MG TABLETS
PM07QPN003,PM07QPN003,QUETIAPINE TABLET (E/R) 300MG  - Quitipin - 300,QUETIAPINE TABLET (E/R) 300MG - Quitipin - 300,True,SSD PHARMACEUTICALS,MEDICINES FOR PSYCHOTIC DISORDERS,PACK OF 30S,2100,314,kesses_pharmaceuticals_stock.csv,0.67|init.62e60c18-826a-5c7f-b43b-823f3066e2da|kesses_pharmaceuticals_stock.csv|QUETIAPINE TABLET (E/R) 300MG
PM10SAL004,PM10SAL004,SALMETEROL + FLUTICASONE  25MCG/125MCG  SYCOBREATHE  - Serocort 125,SALMETEROL + FLUTICASONE 25MCG/125MCG SYCOBREATHE - Serocort 125,True,SSD PHARMACEUTICALS,ANTIASTHMATICS AND DRUGS FOR COPD,120 doses,1550,315,kesses_pharmaceuticals_stock.csv,0.71|init.fec06b20-0d0b-5655-b292-324facb25f14|kesses_pharmaceuticals_stock.csv|SALMETEROL + FLUTICASONE 25MCG/125MCG SYCOBREATHE ;; 0.57|init.19300cb4-ee83-4268-9396-0d0562787d1d|drugs.csv|SALMETEROL 25mcg AND FLUTICASONE 125mcg ;; 0.38|init.e05278d4-6ef1-461d-8194-931138306a1b|drugs.csv|SALMETEROL 25mcg AND FLUTICASONE 250mcg
PM10SAL005,PM10SAL005,SALMETEROL + FLUTICASONE  25MCG/250MCG  SYNCOBREATHE  - Serocort 250,SALMETEROL + FLUTICASONE 25MCG/250MCG SYNCOBREATHE - Serocort 250,True,SSD PHARMACEUTICALS,ANTIASTHMATICS AND DRUGS FOR COPD,120 doses,1900,316,kesses_pharmaceuticals_stock.csv,0.71|init.1f7ee209-470b-53d9-b52d-e6ed81dc74cf|kesses_pharmaceuticals_stock.csv|SALMETEROL + FLUTICASONE 25MCG/250MCG SYNCOBREATHE ;; 0.57|init.e05278d4-6ef1-461d-8194-931138306a1b|drugs.csv|SALMETEROL 25mcg AND FLUTICASONE 250mcg ;; 0.38|init.19300cb4-ee83-4268-9396-0d0562787d1d|drugs.csv|SALMETEROL 25mcg AND FLUTICASONE 125mcg
PM07SLN002,PM07SLN002,SERTRALINE 50MG TABLETS  - Zosert 50,SERTRALINE 50MG TABLETS - Zosert 50,True,SSD PHARMACEUTICALS,MEDICINES  USED IN MOOD DISORDERS,PACK OF 30S,1450,317,kesses_pharmaceuticals_stock.csv,0.50|init.ba8692f2-76a5-4206-b356-1fc8278963b8|kesses_pharmaceuticals_stock.csv|SERTRALINE 50MG TABLETS
PM10STG003,PM10STG003,SITAGLIPTIN 100MG TABLETS  - Trevia,SITAGLIPTIN 100MG TABLETS - Trevia,True,SSD PHARMACEUTICALS,ORAL HYPOGLYCAEMIC AGENTS,TABLET,49,318,kesses_pharmaceuticals_stock.csv,0.67|init.65bd8af6-8c09-4c71-9d91-2a2ba45397f3|kesses_pharmaceuticals_stock.csv|SITAGLIPTIN 100MG TABLETS
PM10STG004,PM10STG004,SITAGLIPTIN 50MG + METFORMIN 1000MG TABLETS  - Treviamet,SITAGLIPTIN 50MG + METFORMIN 1000MG TABLETS - Treviamet,True,SSD PHARMACEUTICALS,ORAL HYPOGLYCAEMIC AGENTS,TABLET,28,319,kesses_pharmaceuticals_stock.csv,0.80|init.209c0cc4-77f0-5635-b127-d47c0116f5cd|kesses_pharmaceuticals_stock.csv|SITAGLIPTIN 50MG + METFORMIN 1000MG TABLETS ;; 0.50|init.1c4f3f6b-5193-52f4-abae-64b11f5111f2|kesses_pharmaceuticals_stock.csv|SITAGLIPTIN 50MG + METFORMIN 500MG TABLETS ;; 0.40|init.bc65c466-0a3d-4606-8edc-8563787deea3|drugs.csv|METFORMIN 1000mg TAB
PM10STG005,PM10STG005,SITAGLIPTIN 50MG + METFORMIN 500MG TABLETS  - Treviamet,SITAGLIPTIN 50MG + METFORMIN 500MG TABLETS - Treviamet,True,SSD PHARMACEUTICALS,ORAL HYPOGLYCAEMIC AGENTS,TABLET,30,320,kesses_pharmaceuticals_stock.csv,0.80|init.1c4f3f6b-5193-52f4-abae-64b11f5111f2|kesses_pharmaceuticals_stock.csv|SITAGLIPTIN 50MG + METFORMIN 500MG TABLETS ;; 0.50|init.209c0cc4-77f0-5635-b127-d47c0116f5cd|kesses_pharmaceuticals_stock.csv|SITAGLIPTIN 50MG + METFORMIN 1000MG TABLETS ;; 0.40|init.5347d982-9137-4829-b77b-864a07436508|drugs.csv|METFORMIN 500mg TAB
PM10STG002,PM10STG002,SITAGLIPTIN 50MG  TABLETS  - Trevia,SITAGLIPTIN 50MG TABLETS - Trevia,True,SSD PHARMACEUTICALS,ORAL HYPOGLYCAEMIC AGENTS,TABLET,30,321,kesses_pharmaceuticals_stock.csv,0.67|init.feeece36-0c2a-4ab6-8a66-aeed7bf40c5f|kesses_pharmaceuticals_stock.csv|SITAGLIPTIN 50MG TABLETS ;; 0.40|init.209c0cc4-77f0-5635-b127-d47c0116f5cd|kesses_pharmaceuticals_stock.csv|SITAGLIPTIN 50MG + METFORMIN 1000MG TABLETS ;; 0.40|init.1c4f3f6b-5193-52f4-abae-64b11f5111f2|kesses_pharmaceuticals_stock.csv|SITAGLIPTIN 50MG + METFORMIN 500MG TABLETS
PM08RBT001,PM08RBT001,ABIRATERONE 250 MG TABLETS  - Zytiga,ABIRATERONE 250 MG TABLETS - Zytiga,True,ONCOLOGY,HORMONES & ANTIHORMONES,PACK OF 120S,49500,325,kesses_oncology.csv,
PM08ABR002,PM08ABR002,ABIRATERONE ACETATE TABLETS 500MG PACK 0,ABIRATERONE ACETATE TABLETS 500MG PACK 0,False,ONCOLOGY,CYTOTOXIC MEDICINES,PACK,32750,326,kesses_oncology.csv,
PM08CYC001,PM08CYC001,CYCLOPHOSPHAMIDE INJECTION  - 500MG,CYCLOPHOSPHAMIDE INJECTION - 500MG,True,ONCOLOGY,CYTOTOXIC MEDICINES,VIAL,247,327,kesses_oncology.csv,0.50|init.cd138ce6-ce30-5ed7-8192-97ff9dc3ae0b|kesses_pharmaceuticals_stock.csv|FLUCLOXACILLIN INJECTION 500MG ;; 0.40|init.bb8c72b5-c871-4911-8566-f4dc60547cdd|kesses_pharmaceuticals_stock.csv|METHYL PREDNISOLONE 500MG INJECTION ;; 0.40|init.9f5428a4-c7b0-5d9c-988e-99eb9eaafe2f|kesses_pharmaceuticals_stock.csv|THIOPENTONE SODIUM INJECTION - 500MG
PM08CYC002,PM08CYC002,CYCLOPHOSPHAMIDE INJECTION POWDER FOR RECONSTITUTION 1G,CYCLOPHOSPHAMIDE INJECTION POWDER FOR RECONSTITUTION 1G,False,ONCOLOGY,CYTOTOXIC MEDICINES,VIAL,285,328,kesses_oncology.csv,
PM08EZL001,PM08EZL001,ENZALUTAMIDE  40MG CAPSULE,ENZALUTAMIDE 40MG CAPSULE,True,ONCOLOGY,CYTOTOXIC MEDICINES,PACK OF 56s,25600,329,kesses_oncology.csv,
PM08GMB002,PM08GMB002,GEMCITABINE  INJECTION PFR 1G VIAL,GEMCITABINE INJECTION PFR 1G VIAL,True,ONCOLOGY,CYTOTOXIC MEDICINES,VIAL,2160,330,kesses_oncology.csv,0.43|init.f9e25a1e-5dab-5cf2-bac6-4883c5f7552a|kesses_pharmaceuticals_stock.csv|MEROPENEM INJECTION PFR 500MG-VIAL
PM08LEN006,PM08LEN006,LENALIDOMIDE CAPSULE 10MG,LENALIDOMIDE CAPSULE 10MG,False,ONCOLOGY,IMMUNOMODULATORS,Pack of 21,9225,333,kesses_oncology.csv,
